location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,Nursing homes/assisted living facility; Essential workers (inclusive),"Any member of Facility’s Personnel who is directed by the Facility or DPH to have a test must permit the test to be performed in the manner directed. A Facility must not permit any member of its Personnel to come to work or otherwise enter the Facility’s premises if that person refuses to be tested, unless expressly permitted by DPH.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Contact tracing,Nursing homes/assisted living facility; Essential workers (inclusive); Suspected cases,Each Facility must immediately (within one hour) report any positive test result of a member of the Facility’s Personnel. The Facility must also otherwise report all test results as required by law.,2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Contact tracing,Hospitals/urgent care/emergency medical services; Essential workers (inclusive); Suspected cases; Confirmed cases,"If a Hospital learns that any member of its personnel who is, or within the two weeks prior was, working at the Hospital tests positive for SARS-CoV-2, then the Hospital must follow all applicable reporting requirements. If the Hospital determines that the member of its personnel was the suspected or confirmed source of infection of any patient with SARS-CoV-2, then the Hospital must immediately (within 1 hour) notify DPH Communicable Disease Control.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services; Nursing homes/assisted living facility,"Before the removal of any human remains from a place of death in the City, transport of human remains from any location in the City, or preparation of human remains for burial, cremation, or other final disposition, each Funeral-Related Service that is acting or operating in the City must either confirm that Antemortem Testing was performed prior to the person’s death or arrange for Postmortem Testing of the human remains or confirm that such testing occurred.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services; Nursing homes/assisted living facility,"Each person who dies in the City on or after the effective date of this Order, this Order requires either that the person must have been subjected to Antemortem Testing or the human remains of that person must undergo Postmortem Testing  before the remains may be transported out of the City or prepared for final disposition by any Funeral-Related Service in the City.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services; Nursing homes/assisted living facility,"A Funeral-Related Service must not attempt to collect reimbursement of the cost of any Postmortem Testing from a deceased patient’s family, next of kin, or estate.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Suspected cases; Hospitals/urgent care/emergency medical services,"Each Healthcare Facility in the City must provide Diagnostic Testing to any symptomatic person,  regardless of age, hospitalization status, co-morbidities, or other risk factors for COVID-19.",2020-08-13,2020-08-13,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Suspected cases; Hospitals/urgent care/emergency medical services,Each Healthcare Facility in the City must provide Diagnostic Testing to any person who is referred to their provider for Diagnostic Testing by DPH.,2020-08-13,2020-08-13,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Suspected cases; Hospitals/urgent care/emergency medical services,"Healthcare Facilities that are providing care to the patient must provide the Diagnostic Testing either on the same day the patient presents for care or the following calendar day. In the event a patient presents for care via telehealth or other remote methods, the Healthcare Facility must conduct or otherwise cause to be provided a Diagnostic Test no later than the end of the calendar day following the remote visit.",2020-08-13,2020-08-13,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Other,Social distancing,Adaptation and mitigation measures,Hospitals/urgent care/emergency medical services,"Each Hospital must update and continue to implement the written plan that was originally required by the prior version of this Order (the “COVID-19 Plan”). The Hospital’s existing COVID-19 Plan may be used while a new version is prepared, and the COVID-19 Plan should be updated no later than June 1, 2020. The plan must comply with applicable guidance from the CDC, CDPH, and DPH.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),The operators of all Businesses allowed to operate  must complete a Social Distancing Protocol checklist for each of their facilities in the County frequented by Personnel or members of the public. The Social Distancing Protocol checklist must be posted at or near each public entrance of each of the Business facilities and must be easily viewable by the public and Personnel.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),Each Business that is required to comply with the Social Distancing Protocol is prohibited from taking any adverse action against any Personnel for staying home in the circumstances listed in the Social Distancing Protocol.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),"As a condition of operating under this Order, the operators of all Businesses allowed to operate must comply with the requirements of the Social Distancing Protocol.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,School closures,Childcare facilities (preschool or other daycare),"Group care facilities for children who are not yet in elementary school may operate subject to, and to the extent permitted by, the health and safety requirements",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,School closures,Childcare facilities (preschool or other daycare); Primary education,"A district superintendent, private school principal/head of school, or executive director of a charter school may apply for an advance written waiver by the Health Officer of this restriction to allow the school to open for in person instruction for grades TK-6.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),All Businesses allowed to operate under this Order must follow any industry or activity-specific guidance issued by the Health Officer related to COVID-19.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,School closures,Indoor recreation/sports facility ; Primary education; Secondary education,"Educational or recreational institutions or programs that provide care or supervision for school-aged children and youth may operate subject to, and to the extent permitted by, the City's health and safety requirements.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Relaxing,Social distancing,School closures,Higher education,"Institutions of higher education may operate subject to, and to the extent permitted by, the City's health and safety requirements.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"Each Facility must Cooperate with DPH by promptly taking and responding to telephone calls, emails, and other inquiries and requests by representatives of DPH, permitting DPH personnel onsite without advance notice, and responding to all DPH requests for information in a timely manner.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"The Facility must follow DPH direction or any individual Health Officer order to test specific Residents or Personnel, whether performing the tests itself or working with DPH or another testing provider to conduct the tests.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"Each Facility must go to the DPH websites at least weekly to check for any update to DPH Guidance applicable to the Facility, including but not limited to the “SNF Interim Coronavirus Disease 2019 (COVID-19) Prevention and Management Protocol” and any updates to that document.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"Each Facility must Cooperate with DPH by maintaining a bed hold for any Facility Resident who is transferred to another location as a result of the current local health emergency and facilitating the safe return of that Resident at an appropriate time consistent with DPH Guidance or other DPH direction and accepting a safe transfer of a new Resident to the Facility as directed by DPH, with DPH being the final decision maker as to whether the transfer is safe.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive); Suspected cases,"No member of the Facility’s Personnel may come to work or otherwise enter the Facility’s premises after receiving a positive test result except as permitted by DPH Guidance. If a member of the Facility’s Personnel is awaiting a test result, that person may only come to work or otherwise enter the Facility’s premises as permitted by DPH Guidance.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"Each Facility must Report any information, as reasonably necessary to protect public health and the safety and well-being of Facility Residents and Personnel, as directed by DPH regarding the Facility and its operation.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"Each Facility must Cooperate with DPH by enacting policies or procedures required by DPH, communicating with Residents, Resident decision-makers and loved ones, and Personnel as directed by DPH. Also, they must assist with the assessment of Facility resources, procedures, and physical layout when requested, including by providing Personnel who can show DPH staff any areas or required information.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive); Suspected cases,"The member of the Facility’s Personnel who was tested must take all steps necessary to ensure the Facility receives the result within 48 hours if negative and within 8 hours if positive, whether by providing a written copy of the test result to the Facility or by signing a release permitting the testing lab or ordering provider to share the result directly with the Facility. The Facility must prohibit each Personnel member who was tested from returning to work until the Facility receives proof of the test’s outcome within the timeframe required.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),"The Facility must facilitate Testing and respond to Testing results as appropriate, including taking action based on the results of Testing, pursuant to the Facility’s infection control protocols, DPH Guidance, and CDPH and CDC guidelines.",2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility; Essential workers (inclusive),Each Facility must Cooperate with DPH by disclosing to DPH staff protected health information and other medical information that relates to the subject matter and facilitating the safe transfer of any Resident to another Facility or other level of care based on the context as directed by DPH or the Facility’s regulatory. entity,2020-05-07,2020-05-08,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Visitor restrictions,Hospitals/urgent care/emergency medical services; General population (inclusive),"The personnel of each Hospital must exclude from entry or access to its Premises any Visitors and Non-Essential Persons including, family members of patients and authorized decision-makers. The only people exempt from this order are those that must visit for ""necessary visitation"".",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Health screening,Hospitals/urgent care/emergency medical services; Essential workers (inclusive),"Each Hospital’s COVID-19 Plan must include a requirement that any employee or other personnel who is sick or does not pass the required screening must be immediately sent home and not return to work until permitted to return to work under CDC, CDPH, and DPH guidance.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Visitor restrictions,Hospitals/urgent care/emergency medical services; General population (inclusive),Each Hospital must continue to monitor and limit the presence of Non-Essential Persons other than Visitors on Hospital Premises. Such Non-Essential Persons are prohibited from Hospital Premises except as allowed by the Hospital under its COVID-19 Plan.,2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Visitor restrictions,Hospitals/urgent care/emergency medical services; General population (inclusive); Suspected cases; Confirmed cases,"If the patient or the Visitor has a current suspected or confirmed COVID-19 diagnosis or SARS-CoV-2 infection, then the Hospital may only permit General Visitation or Necessary Visitation if the visit can be done in a manner that protects the health and welfare of the patient, the Visitor, and Hospital personnel, as determined by the Hospital.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Health screening,Hospitals/urgent care/emergency medical services; General population (inclusive),"Hospitals must screen each Visitor before each visit in a manner consistent with current guidance from CDC, CDPH, and DPH regarding screening.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Hospitals/urgent care/emergency medical services; General population (inclusive),"To the maximum extent possible, each Hospital must discourage Non-Essential Patient Movement onto, off of, and within the Hospital’s Premises, where feasible.",2020-05-26,2020-05-27,Unspecified,Unspecified,
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services,"A hospital or facility must not attempt to collect reimbursement of the cost of any Postmortem Testing from a deceased patient’s family, next of kin, or estate.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services,"Each hospital or facility must document the occurrence of Antemortem Testing or Postmortem Testing, whether through existing or new documentation, in the deceased patient’s medical record.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services,"In relation to deaths under the Office of the Chief Medical Examiner's jurisdiction, will transport the deceased person’s remains to its own facility and will either confirm that Antemortem Testing was performed prior to the person’s death or ensure that Postmortem Testing is conducted.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services,"Each hospital or facility must report positive SARS-CoV-2 test results within 24 hours, to the Department of Public Health’s Communicable Disease Control. Unit",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Confirmed cases; Suspected cases; Hospitals/urgent care/emergency medical services,"Each hospital or facility must report to any postmortem care worker from a Funeral-Related Service or Medical Examiner who is responsible for retrieval of the deceased patient’s remains the most recent SARS-CoV-2 test result, when known.",2020-06-25,2020-06-25,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Public transportation; General population (inclusive),People riding or waiting to ride on public transit must follow any applicable directives issued by the County Health Officer and any applicable “COVID-19 Industry Guidance” issued by the California Department of Public Health.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Stay at home,General population (inclusive); Homeless shelters/homeless individuals,"All individuals currently living within the County are for the time being ordered to stay in their place of Residence to the extent possible. Homeless individuals are exempt from this order, but are encouraged to find shelter.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,School closures,Childcare facilities (preschool or other daycare); Primary education,Transitional kindergarten (TK)-12 schools may not open for in-person instruction and must conduct distance learning only.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),All public and private gatherings of any number of people occurring outside a single Household are prohibited.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Distancing mandate,General population (inclusive),"When people leave their place of Residence, they must strictly comply with the Social Distancing Requirements, including maintaining at least six feet of social distance from other people not in the same Household.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Public sector/government employees; Essential business (inclusive); Non essential business (inclusive); Non essential workers (inclusive); Essential workers (inclusive),"If a Business or governmental entity has three or more Personnel who test positive for COVID-19 within a two-week period, then the Business or governmental entity is required to call the San Francisco Department of Public Health to report the cluster of cases. Businesses and governmental entities must also comply with all case investigation and contact tracing measures by the County, including providing any information requested.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Private sector closures,Essential business (inclusive),"Essential Businesses, Outdoor Businesses, and Additional Businesses are allowed to operate in the County under this Order. All other Businesses are temporarily required to cease all activities at facilities located within the County except Minimum Basic Operations.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive),"If, despite the mass gathering prohibition, people find themselves with members of other Households, they are required to follow the health guidelines for safer interactions set forth in the Tip Sheet for Safer Interactions During COVID-19 Pandemic.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Public transportation; General population (inclusive),Transit agencies and people riding or waiting to ride on public transit must comply with Social Distancing Requirements,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),All Businesses must continue to maximize the number of Personnel who work remotely from their place of Residence.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Essential business (inclusive); Essential workers (inclusive); Non essential workers (inclusive),"Businesses are required to allow Personnel to stay home if they have symptoms associated with COVID-19, and Personnel are prohibited from coming to work if they are sick and may only return to work as outlined in the Social Distancing Protocol.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Private sector closures,Non essential business (inclusive),"Businesses that include allowed operations alongside other operations that are not yet allowed must, to the extent feasible, scale down their operations to the allowed components only.",2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Francisco (city), CA",Restricting,Social distancing,Health screening,Public sector/government employees; Essential business (inclusive); Non essential business (inclusive); Non essential workers (inclusive); Essential workers (inclusive),Businesses and governmental entities must require that all Personnel immediately alert the Business or governmental entity if they test positive for COVID-19 and were present in the workplace within the 48 hours before onset of symptoms or within 48 hours of the date on which they were tested.,2020-08-14,2020-08-14,Unspecified,Unspecified,NA
Local,California,"San Joaquin County, CA",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,All public and private golf courses may open for limited operations provided that the courses fully implement state mitigation protocols and post and implement a Social Distancing Protocol at each facility where food is served. Social distancing is also required.,2020-06-02,2020-06-02,Unspecified,2020-10-13,
Local,California,"San Joaquin County, CA",Other,Social distancing,Adaptation and mitigation measures,General population (inclusive),"All businesses allowed to operate in San Joaquin County shall implement the industry specific State Guidance. All businesses must prepare and post a “Social Distancing Protocol.""",2020-06-02,2020-06-02,Unspecified,2020-10-13,
Local,California,"San Joaquin County, CA",Other,Social distancing,Adaptation and mitigation measures,Personal care facilities,"The State of California has issued an order than all personal care services must occur outdoors. However, electrology, tattooing, and piercing services must occur indoors for sanitation reasons.",2020-08-05,2020-08-05,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Other,Social distancing,Adaptation and mitigation measures,Indoor recreation/sports facility ; Outdoor recreation or space,"Youth sports may continue in San Joaquin County if they comply with the state issued Interim Guidance (from Aug. 3). All activities must occur outdoors and maintain physical distancing. If the sport does not allow for distancing, only physical training may occur. Tournaments, events, and competitions may not occur. Adult amateur team sports may not occur.",2020-08-05,2020-08-05,Unspecified,2020-11-01,
Local,California,"San Joaquin County, CA",Relaxing,Social distancing,Private sector closures,Churches/places of worship,All places of worship and providers of cultural ceremonies and religious services are permitted to open if they operate under the state's guidelines for mitigation.,2020-05-26,2020-05-26,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Relaxing,Social distancing,Private sector closures,Personal care facilities,Wineries and personal care services may open with mitigation measures.,2020-06-18,2020-06-19,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Relaxing,Social distancing,Private sector closures,Personal care facilities; Retail stores (not including food); Grocery store; Indoor recreation/sports facility,"The State of California has issued an order that has permitted a number of sectors to operate with outdoor capacity and allows other sectors to reopen for indoor operations with limitations. These indoor-allowed sectors include: critical infrastructure, hair salons and barbershops, all retail (at 25% maximum capacity, grocery stores (at 50% maximum capacity), shopping centers (at a maximum 25% capacity), and professional sports (without live audiences).",2020-08-31,2020-08-31,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"All public and private gatherings of any number of people occurring outside a household or living unit are prohibited, except for the limited purposes as expressly permitted.",2020-06-02,2020-06-02,Unspecified,2020-10-13,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Stay at home,General population (inclusive),"All individuals living in San Joaquin County have been ordered are ordered to stay at home or place of residence. To perform explicitly defined exempt activities, individuals must implement social distancing and hygiene practices.",2020-06-02,2020-06-02,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Primary education; Secondary education; Childcare facilities (preschool or other daycare),"The State of California provided guidance for day camps, schools, and school-based programs on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-11,2020-06-12,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Hotels/lodging,"The State of California provided guidance for hotels, lodgings, and short term rentals on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-11,2020-06-12,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"The State of California provided guidance for campgrounds, RV parks, and outdoor recreation on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-11,2020-06-12,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,"The State of California provided guidance for cardrooms, satellite wagering facilities, and racetracks on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-11,2020-06-12,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Gym/workout facility/fitness center,"The State of California provided guidance for Gyms and Fitness Centers on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-16,2020-06-17,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Restaurants/bars,"The State of California provided guidance for restaurants, bars, and wineries on June 5, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-18,2020-06-19,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Personal care facilities,"The State of California provided guidance for personal care services on June 12, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county.",2020-06-18,2020-06-19,2020-06-19,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Private sector closures,General population (inclusive); Restaurants/bars,"This order reinforces the Governor's and California State Public Health Officer's order that counties on the County Monitoring List must conform to certain closure/adaptation standards. This means all breweries, bars, brewpubs, and pubs must close.",2020-07-02,2020-07-02,Unspecified,2020-08-31,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,General population (inclusive); Restaurants/bars,"This order reinforces the Governor's and California State Public Health Officer's order that counties on the County Monitoring List must conform to certain closure/adaptation standards. This means that San Joaquin County's dine-in restaurants, wineries & tasting rooms, and cardrooms may operate only in outdoor capacities with social distancing and face coverings.",2020-07-02,2020-07-02,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Personal care facilities,"The State of California provided guidance for personal care services, hair salons, and barbershops on July 13, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county. These businesses are to cease indoor operations, but may operate outdoors with mitigation measures.",2020-07-13,2020-07-13,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Churches/places of worship,"The State of California provided guidance for worship services and protests on July 13, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county. These businesses are to cease indoor operations, but may operate outdoors with mitigation measures.",2020-07-13,2020-07-13,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Non essential workers (inclusive),"The State of California provided guidance for offices for non-essential sectors on July 13, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county. These businesses are to cease indoor operations, but may operate outdoors with mitigation measures.",2020-07-13,2020-07-13,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Retail stores (not including food),"The State of California provided guidance for indoor malls on July 13, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county. These businesses are to cease indoor operations, but may operate outdoors with mitigation measures.",2020-07-13,2020-07-13,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Gym/workout facility/fitness center,"The State of California provided guidance for fitness centers on July 13, 2020, and the San Joaquin County Public Health Officer approved these guidelines for implementation in the county. These businesses are to cease indoor operations, but may operate outdoors with mitigation measures.",2020-07-13,2020-07-13,Unspecified,2020-09-29,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Restaurants/bars,"Brews, brewpubs, bars, and breweries in San Joaquin County must follow state guidelines (as of July 13). These businesses may continue to operate with an outdoor service of alcohol only if it is served with a full sit-down, dine-in meal.",2020-07-16,2020-07-16,Unspecified,2020-08-31,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,School closures,General population (inclusive); Primary education; Secondary education,All K-12 educational institutions in San Joaquin County are ordered to remain closed until the county has been off of the state Monitoring List for 14 days or until the school has requested and been provided a waiver.,2020-07-29,2020-07-29,Unspecified,2020-08-31,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,School closures,Secondary education; Primary education,All K-12 educational institutions in San Joaquin County must only conduct distant/virtual learning until the county is off of the state monitoring list for 14 days or the school is provided a waiver.,2020-07-29,2020-07-29,Unspecified,Unspecified,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Restaurants/bars,"Brews, brewpubs, bars, and breweries in San Joaquin County must follow state guidelines (as of Aug. 28). These businesses may continue to operate with an outdoor service of alcohol only if it is served with a full sit-down, dine-in meal.",2020-08-31,2020-08-31,Unspecified,2020-11-01,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"The State of California issued an order that changed the regulations for private gatherings, and this policy implements those regulations in San Joaquin County. Gatherings must be held outside in a large space that allows for social distancing, may last no longer than 2 hours, and may include no more than 3 households. Face coverings must be worn, and symptomatic individuals may not attend.",2020-10-13,2020-10-13,Unspecified,Unspecified,
Local,California,"San Joaquin County, CA",Restricting,Social distancing,Private sector closures,General population (inclusive); Entertainment/concert venues/nightclubs; Gym/workout facility/fitness center; Retail stores (not including food); Churches/places of worship; Restaurants/bars,"Due to a rise in COVID-19 cases, San Joaquin County has moved to the more restrictive Purple/Widespread Tier. Many businesses must change their operations to outdoor only and reduce their capacities. However, personal care facilities may resume indoor operations, and any schools that were operating in-person may continue.",2020-11-16,2020-11-17,Unspecified,Unspecified,
